                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                0.64634,                0.37127,                0.90857,                0.85508,                0.82471,                0.87581,                 0.5865,                 1.2032,                0.71658,                 1.3698,               0.000812,               0.000812,               0.000812
                    123,                0.64135,                0.36039,                0.91149,                0.86561,                0.81059,                 0.8705,                0.58729,                  1.191,                0.72376,                 1.3614,              0.0008021,              0.0008021,              0.0008021
                    124,                0.67231,                0.37476,                0.92155,                0.87652,                0.78471,                0.86407,                0.58574,                 1.1881,                0.72487,                 1.3597,              0.0007922,              0.0007922,              0.0007922
                    125,                0.66647,                0.37831,                0.92154,                0.85094,                0.81262,                0.87484,                0.59341,                 1.1739,                0.73557,                 1.3245,              0.0007823,              0.0007823,              0.0007823
                    126,                0.64629,                0.36355,                0.92426,                0.88405,                0.76588,                0.86433,                0.57962,                 1.1991,                0.77041,                 1.3594,              0.0007724,              0.0007724,              0.0007724
                    127,                 0.6135,                 0.3493,                0.89778,                0.86761,                0.78824,                0.86476,                0.58886,                 1.2038,                0.75872,                 1.3658,              0.0007625,              0.0007625,              0.0007625
                    128,                0.62462,                0.35356,                0.90501,                0.86802,                0.79059,                0.87247,                0.59751,                 1.1953,                0.73228,                 1.3708,              0.0007526,              0.0007526,              0.0007526
                    129,                0.60128,                0.34526,                0.90004,                0.87953,                 0.7816,                0.86725,                0.59402,                 1.2057,                0.76544,                 1.3631,              0.0007427,              0.0007427,              0.0007427
                    130,                0.60654,                0.35189,                0.89748,                0.87448,                0.78235,                 0.8604,                0.59264,                 1.2152,                0.75707,                 1.3751,              0.0007328,              0.0007328,              0.0007328
                    131,                0.62011,                 0.3548,                0.91673,                0.87905,                0.77882,                0.86182,                0.59292,                 1.2062,                0.74666,                 1.3688,              0.0007229,              0.0007229,              0.0007229
                    132,                0.63152,                0.36076,                0.90972,                0.86316,                0.79294,                0.86535,                0.59028,                 1.1935,                0.75627,                 1.3697,               0.000713,               0.000713,               0.000713
                    133,                0.61284,                0.35705,                0.90715,                0.87912,                0.78941,                0.86711,                0.58077,                 1.1966,                0.72854,                 1.3818,              0.0007031,              0.0007031,              0.0007031
                    134,                0.61437,                0.34921,                 0.9008,                0.85036,                 0.7889,                 0.8531,                0.56589,                 1.2149,                0.80051,                 1.3773,              0.0006932,              0.0006932,              0.0006932
                    135,                0.63187,                0.35448,                0.92223,                0.84256,                0.78071,                0.85505,                0.57241,                 1.1963,                0.78822,                 1.3607,              0.0006833,              0.0006833,              0.0006833
                    136,                0.58535,                0.33855,                0.90056,                 0.8535,                0.77647,                0.85492,                0.57493,                 1.2195,                0.77511,                 1.3972,              0.0006734,              0.0006734,              0.0006734
                    137,                0.62333,                0.36766,                0.91744,                 0.8562,                0.78457,                0.86019,                0.57894,                 1.2211,                 0.7708,                 1.4017,              0.0006635,              0.0006635,              0.0006635
                    138,                0.60379,                0.35057,                0.89768,                 0.8529,                0.79765,                0.85952,                0.58039,                 1.2214,                 0.7591,                 1.4109,              0.0006536,              0.0006536,              0.0006536
                    139,                0.59787,                0.34577,                0.89206,                0.84081,                0.81403,                0.87008,                0.58282,                  1.211,                0.74764,                 1.3975,              0.0006437,              0.0006437,              0.0006437
                    140,                0.58597,                0.33509,                0.88967,                0.87842,                0.78198,                0.86064,                0.57838,                 1.2055,                0.75002,                 1.3878,              0.0006338,              0.0006338,              0.0006338
                    141,                0.57304,                0.32707,                0.89084,                0.88383,                0.77882,                0.86828,                 0.5856,                 1.2065,                 0.7429,                 1.4016,              0.0006239,              0.0006239,              0.0006239
                    142,                0.60244,                0.34205,                0.91274,                0.84807,                 0.8209,                0.87752,                0.59141,                 1.2076,                0.72755,                 1.4149,               0.000614,               0.000614,               0.000614
                    143,                0.58898,                0.34368,                0.90329,                 0.8393,                0.83529,                0.88039,                0.59285,                 1.1941,                 0.7195,                 1.3983,              0.0006041,              0.0006041,              0.0006041
                    144,                0.58841,                0.34624,                0.89597,                0.82876,                0.81882,                0.85746,                0.58045,                 1.1999,                0.71299,                 1.4129,              0.0005942,              0.0005942,              0.0005942
                    145,                0.59499,                0.34299,                0.89444,                0.85829,                0.81232,                0.85976,                0.57832,                 1.1962,                0.71529,                 1.4006,              0.0005843,              0.0005843,              0.0005843
                    146,                0.56917,                0.33082,                0.89066,                0.85265,                0.81693,                0.86048,                0.57923,                 1.1919,                0.71696,                 1.3935,              0.0005744,              0.0005744,              0.0005744
                    147,                0.57985,                0.33308,                0.89346,                0.85197,                0.81765,                 0.8602,                 0.5763,                 1.2053,                0.73738,                 1.4094,              0.0005645,              0.0005645,              0.0005645
                    148,                0.57763,                0.33686,                0.88918,                0.84201,                0.81511,                0.85916,                0.58419,                 1.2075,                0.75049,                 1.4099,              0.0005546,              0.0005546,              0.0005546
                    149,                0.57332,                0.32804,                0.90148,                 0.8606,                0.81059,                0.87184,                0.58824,                 1.2117,                0.75949,                 1.4022,              0.0005447,              0.0005447,              0.0005447
                    150,                0.57941,                0.33235,                0.89365,                0.89112,                0.77032,                0.86093,                0.58017,                 1.2244,                0.78377,                 1.4058,              0.0005348,              0.0005348,              0.0005348
                    151,                0.54465,                0.31347,                0.89083,                0.88179,                0.77176,                  0.864,                0.58469,                 1.2163,                0.77453,                 1.4029,              0.0005249,              0.0005249,              0.0005249
                    152,                0.55816,                0.32426,                0.88269,                0.87252,                0.77412,                0.85952,                 0.5772,                 1.2102,                0.75908,                 1.3919,               0.000515,               0.000515,               0.000515
                    153,                0.52677,                0.31601,                0.88092,                0.85829,                0.79882,                 0.8616,                0.58231,                 1.1895,                0.74926,                 1.3692,              0.0005051,              0.0005051,              0.0005051
