                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                0.80565,                0.47709,                0.96782,                0.84519,                0.82339,                0.86005,                 0.5635,                 1.2185,                0.77193,                 1.2888,              0.0008714,              0.0008714,              0.0008714
                    117,                0.81916,                0.48387,                0.98223,                0.86691,                 0.7894,                0.85358,                 0.5558,                 1.2304,                0.79495,                 1.2914,              0.0008615,              0.0008615,              0.0008615
                    118,                0.78883,                 0.4675,                0.97594,                0.85176,                0.79484,                0.85995,                0.55713,                 1.2372,                0.77821,                 1.3068,              0.0008516,              0.0008516,              0.0008516
                    119,                0.81383,                0.48177,                0.96539,                0.85335,                0.80707,                0.87229,                0.56175,                 1.2434,                0.77282,                 1.3064,              0.0008417,              0.0008417,              0.0008417
                    120,                0.79134,                0.48862,                 0.9671,                0.86575,                0.79212,                0.86364,                0.55844,                 1.2386,                 0.8021,                 1.3128,              0.0008318,              0.0008318,              0.0008318
                    121,                0.84715,                0.46934,                0.98385,                0.86972,                0.78912,                0.85707,                0.55229,                 1.2465,                0.79146,                 1.3201,              0.0008219,              0.0008219,              0.0008219
                    122,                0.80766,                0.46357,                0.96247,                0.86872,                0.79484,                0.86059,                0.54557,                 1.2664,                0.79804,                 1.3379,               0.000812,               0.000812,               0.000812
                    123,                0.79924,                0.46257,                0.96379,                0.83684,                0.81929,                 0.8593,                0.55449,                 1.2735,                0.77205,                 1.3462,              0.0008021,              0.0008021,              0.0008021
                    124,                0.83341,                0.49067,                 0.9721,                0.83945,                0.78804,                0.84901,                0.55259,                 1.2512,                0.78297,                 1.3196,              0.0007922,              0.0007922,              0.0007922
                    125,                0.81575,                 0.4727,                0.96951,                0.82583,                0.80529,                0.85629,                0.56233,                  1.243,                0.77706,                 1.3149,              0.0007823,              0.0007823,              0.0007823
                    126,                0.79572,                0.46075,                0.97333,                0.82929,                0.81842,                0.86524,                0.55531,                 1.2655,                0.78514,                 1.3337,              0.0007724,              0.0007724,              0.0007724
                    127,                0.78667,                0.44334,                0.95615,                  0.831,                0.78533,                0.84995,                0.55027,                 1.2549,                0.80376,                 1.3183,              0.0007625,              0.0007625,              0.0007625
                    128,                0.79068,                0.45506,                0.95161,                0.83554,                0.78533,                0.85204,                0.55679,                 1.2511,                0.79068,                 1.3193,              0.0007526,              0.0007526,              0.0007526
                    129,                0.77309,                0.44959,                0.95609,                0.82612,                0.81658,                0.86466,                0.56509,                 1.2322,                0.74388,                 1.2973,              0.0007427,              0.0007427,              0.0007427
                    130,                0.77862,                0.44586,                0.95295,                0.84114,                0.80572,                 0.8779,                0.57971,                 1.2326,                0.75277,                 1.3168,              0.0007328,              0.0007328,              0.0007328
                    131,                0.78709,                0.45301,                0.97135,                0.83283,                0.79194,                 0.8613,                0.55426,                 1.2778,                0.78635,                 1.3368,              0.0007229,              0.0007229,              0.0007229
                    132,                0.79859,                0.45761,                0.96003,                0.84626,                0.80026,                0.86143,                0.55844,                 1.2468,                0.76021,                 1.3126,               0.000713,               0.000713,               0.000713
                    133,                0.78215,                0.45364,                0.95614,                0.82261,                0.79755,                0.84344,                0.55175,                 1.2364,                 0.7886,                 1.2996,              0.0007031,              0.0007031,              0.0007031
                    134,                 0.7835,                0.45232,                0.95003,                0.86148,                0.77737,                0.84726,                0.55461,                 1.2253,                0.78857,                 1.3037,              0.0006932,              0.0006932,              0.0006932
                    135,                0.78474,                0.44836,                0.96337,                0.85813,                0.80541,                0.86098,                0.56155,                 1.2321,                0.75873,                 1.3211,              0.0006833,              0.0006833,              0.0006833
                    136,                0.74748,                0.42749,                0.95137,                0.86464,                0.80163,                0.86052,                0.56601,                  1.236,                0.73944,                 1.3323,              0.0006734,              0.0006734,              0.0006734
                    137,                0.78697,                 0.4556,                0.97211,                0.87645,                0.79348,                0.86557,                0.56587,                  1.235,                0.75202,                 1.3114,              0.0006635,              0.0006635,              0.0006635
                    138,                0.77161,                 0.4437,                0.94555,                0.83739,                 0.7894,                0.86016,                 0.5601,                 1.2443,                0.77518,                 1.3042,              0.0006536,              0.0006536,              0.0006536
                    139,                0.75687,                 0.4407,                0.93807,                0.86723,                0.77209,                0.86057,                0.55252,                 1.2693,                0.79525,                 1.3256,              0.0006437,              0.0006437,              0.0006437
                    140,                0.75565,                0.42539,                0.93864,                0.86261,                0.78481,                0.86445,                0.56573,                 1.2497,                0.76733,                 1.3117,              0.0006338,              0.0006338,              0.0006338
                    141,                0.73899,                 0.4221,                0.93936,                 0.8407,                0.79891,                0.85934,                0.56032,                  1.259,                0.76341,                 1.3152,              0.0006239,              0.0006239,              0.0006239
                    142,                0.77028,                0.44141,                0.95896,                0.84019,                0.80721,                0.86602,                0.56336,                 1.2313,                0.75856,                 1.2977,               0.000614,               0.000614,               0.000614
                    143,                0.75431,                0.43911,                 0.9494,                0.84124,                0.80299,                0.85512,                0.56124,                 1.2408,                0.76446,                 1.3079,              0.0006041,              0.0006041,              0.0006041
                    144,                0.74172,                0.43504,                0.94714,                0.82447,                0.80027,                 0.8549,                0.56126,                 1.2496,                0.77506,                 1.3209,              0.0005942,              0.0005942,              0.0005942
                    145,                 0.7641,                0.44013,                0.94785,                0.83626,                0.80492,                0.85504,                0.55811,                 1.2634,                0.78663,                 1.3241,              0.0005843,              0.0005843,              0.0005843
                    146,                0.72426,                0.41707,                0.93881,                0.84622,                0.80299,                0.86125,                0.56106,                 1.2481,                0.73817,                 1.3255,              0.0005744,              0.0005744,              0.0005744
                    147,                0.74194,                0.42845,                0.93958,                0.85074,                0.78218,                0.85061,                0.54917,                 1.2489,                0.77439,                 1.3239,              0.0005645,              0.0005645,              0.0005645
                    148,                0.72541,                 0.4138,                0.92755,                0.82538,                 0.8092,                0.85892,                0.55949,                  1.235,                0.77145,                 1.3282,              0.0005546,              0.0005546,              0.0005546
                    149,                0.73062,                0.42365,                0.94829,                0.83842,                0.81784,                 0.8564,                0.55952,                 1.2307,                0.76143,                 1.3132,              0.0005447,              0.0005447,              0.0005447
                    150,                0.73672,                0.42026,                0.94452,                0.85435,                0.79348,                0.85632,                0.55126,                 1.2542,                0.77569,                 1.3339,              0.0005348,              0.0005348,              0.0005348
                    151,                0.69344,                0.40922,                 0.9355,                0.82868,                0.81929,                0.85667,                0.56038,                 1.2499,                0.75999,                 1.3372,              0.0005249,              0.0005249,              0.0005249
                    152,                0.73123,                0.41941,                 0.9343,                0.85167,                0.79891,                0.85508,                0.55324,                 1.2541,                0.75244,                 1.3259,               0.000515,               0.000515,               0.000515
